time,wds,sp,t2m,wds_scaled,hour,month,date,dayofweek,dayofyear
2021-05-02 03:00:00,5.389211169636744,-0.873396295353046,-0.04119826204433154,0.5556608667513364,3,5,2021-05-02,6,122
2021-05-02 04:00:00,5.376959776263097,-0.7831011589842843,-0.08180659753826656,0.5429654629442319,4,5,2021-05-02,6,122
2021-05-02 05:00:00,5.125096899813823,-0.5912244297693735,-0.14142702228975454,0.5397916119924556,5,5,2021-05-02,6,122
2021-05-02 06:00:00,5.152983320884026,-0.4717914888115769,-0.13238949796642951,0.58581245079321,6,5,2021-05-02,6,122
2021-05-02 07:00:00,5.902586189749542,-0.3871343538569646,-0.10163900262472966,0.5001184750952535,7,5,2021-05-02,6,122
2021-05-02 08:00:00,6.383948657894012,-0.25639404912360336,-0.024532557061590462,0.5064661769988058,8,5,2021-05-02,6,122
2021-05-02 09:00:00,6.616456722882315,-0.1726951653363929,0.06302075648878888,0.530270059137127,9,5,2021-05-02,6,122
2021-05-02 10:00:00,6.8388167833696905,-0.10215045666564357,0.13637147411321338,0.5255092827094627,10,5,2021-05-02,6,122
2021-05-02 11:00:00,6.981722467212618,-0.06547557107611973,0.1614889179393459,0.5223354317576866,11,5,2021-05-02,6,122
2021-05-02 12:00:00,7.235092054441449,-0.04665900269764423,0.22756271003531134,0.5334439100889032,12,5,2021-05-02,6,122
2021-05-02 13:00:00,7.413575193088322,-0.07394302684643245,0.2549087325692535,0.455684561770387,13,5,2021-05-02,6,122
2021-05-02 14:00:00,7.287584559695187,-0.09462382931424324,0.22216418886872671,0.4699668910533798,14,5,2021-05-02,6,122
2021-05-02 15:00:00,6.963974500343783,-0.08521554512501815,0.13085622816464826,0.3890336917830875,15,5,2021-05-02,6,122
2021-05-02 16:00:00,6.5766170337411625,-0.08805545313027006,0.04107433590645925,0.3652298096447662,16,5,2021-05-02,6,122
2021-05-02 17:00:00,5.758477367024524,-0.07487514389111276,-0.06678368578339541,0.4207722013008492,17,5,2021-05-02,6,122
2021-05-02 18:00:00,4.893092790902196,-0.02409654339198336,-0.2040974223629841,0.3557082567894377,18,5,2021-05-02,6,122
2021-05-02 19:00:00,4.251825417142529,0.0934721634764526,-0.3143050706827036,0.3223828217957879,19,5,2021-05-02,6,122
2021-05-02 20:00:00,3.707065911816808,0.11134790343601574,-0.3861308006462542,0.2827096848985858,20,5,2021-05-02,6,122
2021-05-02 21:00:00,3.390832498527907,0.17999353252042552,-0.4428158132879438,0.3588821077412139,21,5,2021-05-02,6,122
2021-05-02 22:00:00,3.187765534316481,0.1856489566830644,-0.4739186445456163,0.4461630089150585,22,5,2021-05-02,6,122
2021-05-02 23:00:00,2.9851508695965587,0.29852049055628865,-0.5070133625920784,0.3922075427348636,23,5,2021-05-02,6,122
2021-05-03 00:00:00,2.681440535669385,0.29099386320491366,-0.5158174373514425,0.2747750575191454,0,5,2021-05-03,0,123
2021-05-03 01:00:00,2.504852810625878,0.2966388337184386,-0.5921024863006559,0.2716012065673692,1,5,2021-05-03,0,123
2021-05-03 02:00:00,2.351743952620091,0.3229646066997996,-0.6032507837647884,0.2255803677666147,2,5,2021-05-03,0,123
2021-05-03 03:00:00,2.206694355351156,0.31451457367800173,-0.6476170087674816,0.2366888460978313,3,5,2021-05-03,0,123
2021-05-03 04:00:00,2.127391742698145,0.3671661196407238,-0.6722610687555801,0.155755646827539,4,5,2021-05-03,0,123
2021-05-03 05:00:00,1.8991069501375244,0.4273617157033357,-0.6485529685933628,0.1144955844544488,5,5,2021-05-03,0,123
2021-05-03 06:00:00,1.888589715841559,0.5073147085633355,-0.4928140090211826,0.0859309258884633,6,5,2021-05-03,0,123
2021-05-03 07:00:00,2.0928691426103065,0.5957177344451331,-0.2984607623138944,0.0589531927983658,7,5,2021-05-03,0,123
2021-05-03 08:00:00,2.0090719411127704,0.7170497549892693,-0.11596156568771797,0.062127043750142,8,5,2021-05-03,0,123
2021-05-03 09:00:00,1.9979333417882583,0.7509021553220306,0.017012819043247467,0.100213255171456,9,5,2021-05-03,0,123
2021-05-03 10:00:00,1.852022441141848,0.7217538970838818,0.12475303516610604,0.1208432863580011,10,5,2021-05-03,0,123
2021-05-03 11:00:00,2.3689008034300887,0.6954107013540313,0.2015103871683256,0.136712541116882,11,5,2021-05-03,0,123
2021-05-03 12:00:00,3.139595983604172,0.6484041259048594,0.2669973129993419,0.1462340939722105,12,5,2021-05-03,0,123
2021-05-03 13:00:00,3.51488008366137,0.6041851902154458,0.28577379112289036,0.2620796537120407,13,5,2021-05-03,0,123
2021-05-03 14:00:00,3.6555780486676577,0.5515162215042343,0.27614940053461,0.2287542187183909,14,5,2021-05-03,0,123
2021-05-03 15:00:00,3.4143913525743663,0.4837939980902474,0.22674131342137946,0.2176457403871743,15,5,2021-05-03,0,123
2021-05-03 16:00:00,2.7907592408499053,0.4593498819467111,0.1555013689377624,0.2049503365800696,16,5,2021-05-03,0,123
2021-05-03 17:00:00,1.744015981317353,0.4584090535277987,0.08485045228913805,0.1129086589785607,17,5,2021-05-03,0,123
2021-05-03 18:00:00,0.6348189388146671,0.5138900538466841,-0.0826279941522046,0.1509948703998747,18,5,2021-05-03,0,123
2021-05-03 19:00:00,0.830864708707753,0.6587445271387649,-0.24365091167902628,0.192254932772965,19,5,2021-05-03,0,123
2021-05-03 20:00:00,0.7408030548348278,0.7245763823406696,-0.3594872883742384,0.1573425723034271,20,5,2021-05-03,0,123
2021-05-03 21:00:00,1.045829155253558,0.6954107013540313,-0.5072468121560393,0.1509948703998747,21,5,2021-05-03,0,123
2021-05-03 22:00:00,1.256235122525879,0.6879014967511458,-0.6281326164569225,0.1335386901651058,22,5,2021-05-03,0,123
2021-05-03 23:00:00,1.339786360523367,0.6624991294402076,-0.737749075371612,0.2001895601524054,23,5,2021-05-03,0,123
2021-05-04 00:00:00,1.3772890621230716,0.5844452161665474,-0.8268295381528964,0.2351019206219432,0,5,2021-05-04,1,124
2021-05-04 01:00:00,1.368491325145074,0.497906424374085,-0.8889130719611706,0.1621033487310913,1,5,2021-05-04,1,124
2021-05-04 02:00:00,1.3037133129912812,0.42172719883887405,-0.9339807264407624,0.0668878201778063,2,5,2021-05-04,1,124
2021-05-04 03:00:00,1.3172319309716505,0.3493008333302746,-0.9717725361769167,0.0256277578047161,3,5,2021-05-04,1,124
2021-05-04 04:00:00,1.2875789040163814,0.3267279203754998,-0.9886738522936561,0.0224539068529399,4,5,2021-05-04,1,124
2021-05-04 05:00:00,1.089515129182537,0.3568274606816496,-0.9149697179682311,0.0478447144671492,5,5,2021-05-04,1,124
2021-05-04 06:00:00,0.9689535335751512,0.4113850553301121,-0.4348374582825863,0.0716485966054705,6,5,2021-05-04,1,124
2021-05-04 07:00:00,1.1281499896155087,0.4932022822794725,-0.1485883038212487,0.098626329695568,7,5,2021-05-04,1,124
2021-05-04 08:00:00,1.326270496610848,0.497906424374085,0.05398323216546386,0.1509948703998747,8,5,2021-05-04,1,124
2021-05-04 09:00:00,2.1706458508432576,0.5148413359147105,0.22075484520481772,0.1779726034899722,9,5,2021-05-04,1,124
2021-05-04 10:00:00,3.0386328447085096,0.5543387067609967,0.30537382743041425,0.2017764856282935,10,5,2021-05-04,1,124
2021-05-04 11:00:00,3.866554687425293,0.4847348265091598,0.37673157748102737,0.2985789396574667,11,5,2021-05-04,1,124
2021-05-04 12:00:00,4.2424398648619634,0.3935093153705743,0.40665959542376745,0.3001658651333547,12,5,2021-05-04,1,124
2021-05-04 13:00:00,4.28943680509716,0.2731181232453505,0.36663812619478775,0.3049266415610189,13,5,2021-05-04,1,124
2021-05-04 14:00:00,4.505603775737272,0.18846098829073823,0.30983530798610215,0.2589058027602645,14,5,2021-05-04,1,124
2021-05-04 15:00:00,4.205478536746097,0.0662055620761792,0.23695257027461517,0.2557319518084883,15,5,2021-05-04,1,124
2021-05-04 16:00:00,2.946910505788733,-0.004339146594595487,0.12791973526982808,0.2351019206219432,16,5,2021-05-04,1,124
2021-05-04 17:00:00,2.3843585050331355,-0.09180831315688164,-0.037092359759669256,0.2271672932425028,17,5,2021-05-04,1,124
2021-05-04 18:00:00,2.3157781392955004,-0.18022179268779326,-0.14389121213155637,0.1890810818211888,18,5,2021-05-04,1,124
2021-05-04 19:00:00,2.3605420164126056,-0.10309128508455594,-0.31676926052451154,0.1970157092006292,19,5,2021-05-04,1,124
2021-05-04 20:00:00,2.3814951016742616,-0.11438122611163111,-0.34235144190852246,0.2462103989531598,20,5,2021-05-04,1,124
2021-05-04 21:00:00,2.3694773805774174,-0.14447031276869232,-0.3607788264711513,0.3001658651333547,21,5,2021-05-04,1,124
2021-05-04 22:00:00,2.2918296892333623,-0.31470798834836516,-0.3858962702972777,0.4049029465419683,22,5,2021-05-04,1,124
2021-05-04 23:00:00,2.5114057528285487,-0.3269474691686101,-0.4878834677675355,0.3557082567894377,23,5,2021-05-04,1,124
2021-05-05 00:00:00,2.7283290440242576,-0.42004592577078825,-0.5517286811556974,0.3017527906092428,0,5,2021-05-05,2,125
2021-05-05 01:00:00,2.771493827040475,-0.4934131196983254,-0.5205102059010601,0.3541213313135496,1,5,2021-05-05,2,125
2021-05-05 02:00:00,2.7274628402314853,-0.5639578283691,-0.5459799856431652,0.4223591267767372,2,5,2021-05-05,2,125
2021-05-05 03:00:00,2.730410931931016,-0.6156859686613992,-0.5741474047910393,0.3445997784582211,3,5,2021-05-05,2,125
2021-05-05 04:00:00,2.5543788968843013,-0.617567625499224,-0.607710102750445,0.4239460522526253,4,5,2021-05-05,2,125
2021-05-05 05:00:00,2.260343173729903,-0.5790110830718754,-0.5483242083479336,0.4271199032044015,5,5,2021-05-05,2,125
2021-05-05 06:00:00,2.4681691396197,-0.5583128578555498,-0.31078171152292805,0.325556672747564,6,5,2021-05-05,2,125
2021-05-05 07:00:00,3.968230908222848,-0.5075185768827875,-0.16466714253903444,0.3417536734968948,7,5,2021-05-05,2,125
2021-05-05 08:00:00,4.870936499021728,-0.4717914888115769,-0.019369647028997985,0.3461867039341091,8,5,2021-05-05,2,125
2021-05-05 09:00:00,5.470829791413007,-0.48307097618956346,0.08520170742010122,0.3874467663071994,9,5,2021-05-05,2,125
2021-05-05 10:00:00,5.741799231269672,-0.45767906252773927,0.13613694376423682,0.4382283815356181,10,5,2021-05-05,2,125
2021-05-05 11:00:00,5.965277679663323,-0.4605015477845017,0.22380698209659664,0.3128612689404594,11,5,2021-05-05,2,125
2021-05-05 12:00:00,6.133667982366133,-0.47835986499555005,0.2696949524051046,0.3001658651333547,12,5,2021-05-05,2,125
